Description,Gene_symbol
proteasome activator subunit 2 pseudogene 2,PSME2P2
mortality factor 4 like 1 pseudogene 4,MORF4L1P4
piggyBac transposable element derived 4 pseudogene 5,PGBD4P5
dynein cytoplasmic 1 intermediate chain 2 pseudogene 1,DYNC1I2P1
SLC9A3 antisense RNA 1,SLC9A3-AS1
uncharacterized LOC101930421,LOC101930421
ribosomal protein L21 pseudogene 22,RPL21P22
ribosomal protein S12 pseudogene 10,RPS12P10
tubulin alpha pseudogene 9,TUBAP9
TOMM22 pseudogene 5,TOMM22P5
heat shock protein family E (Hsp10) member 1 pseudogene 24,HSPE1P24
nucleophosmin 1 pseudogene 39,NPM1P39
RTRAF pseudogene 2,RTRAFP2
uncharacterized LOC102724849,LOC102724849
thioredoxin pseudogene 2,TXNP2
brain protein I3 pseudogene 1,BRI3P1
deoxyuridine triphosphatase pseudogene 6,DUTP6
uncharacterized LOC124901296,LOC124901296
OSTM1 antisense RNA 1,OSTM1-AS1
HRG pseudogene 1,HRGP1
ATP synthase membrane subunit g pseudogene 4,ATP5MGP4
NHSL1 antisense RNA 1,NHSL1-AS1
long intergenic non-protein coding RNA 457,LINC00457
parvalbumin like EF-hand containing,PVALEF
COX7B pseudogene 3,COX7BP3
peptidylprolyl isomerase A pseudogene 8,PPIAP8
arginine-glutamic acid dipeptide repeats pseudogene 1 Y-linked,REREP1Y
pleckstrin homology and RUN domain containing M1,PLEKHM1
adaptor related protein complex 2 subunit beta 1 pseudogene,LOC100131348
zinc finger protein 33B pseudogene 1,ZNF33BP1
ribosomal protein S12 pseudogene 26,RPS12P26
ribosomal protein L10 pseudogene 17,RPL10P17
"SSX family member 13, pseudogene",SSX13P
ribosomal protein S8 pseudogene 1,RPS8P1
MIR137 host gene,MIR137HG
uncharacterized LOC102723427,LOC102723427
double homeobox A pseudogene 9,DUXAP9
aldo-keto reductase family 1 member B1 pseudogene 6,AKR1B1P6
SMARCE1 pseudogene 1,SMARCE1P1
NRP2 antisense RNA 1,NRP2-AS1
heat shock protein family A (Hsp70) member 7 (pseudogene),HSPA7
phospholipase A2 group XIIA pseudogene 2,PLA2G12AP2
coiled-coil-helix-coiled-coil-helix domain containing 4 pseudogene 5,CHCHD4P5
RPS27A pseudogene 12,RPS27AP12
ARF like GTPase 2 binding protein pseudogene 10,ARL2BPP10
long intergenic non-protein coding RNA 1795,LINC01795
long intergenic non-protein coding RNA 2470,LINC02470
TRAPPC12 antisense RNA 1,TRAPPC12-AS1
INTS6L antisense RNA 1,INTS6L-AS1
GEMIN7 pseudogene 1,GEMIN7P1
ribosomal protein L21 pseudogene 107,RPL21P107
cytochrome c oxidase subunit 6B1 pseudogene 7,COX6B1P7
ribosomal protein S2 pseudogene 1,RPS2P1
long intergenic non-protein coding RNA 378,LINC00378
ribosomal protein L5 pseudogene 25,RPL5P25
armadillo repeat containing 8 pseudogene 1,ARMC8P1
prostate enriched lncRNA,PSLNR
trafficking protein particle complex 2 pseudogene 5,TRAPPC2P5
"ST13, Hsp70 interacting protein pseudogene 6",ST13P6
PCDH9 antisense RNA 3,PCDH9-AS3
zinc and ring finger 2 pseudogene 2,ZNRF2P2
TAF1A antisense RNA 1,TAF1A-AS1
ribosomal protein L8 pseudogene 2,RPL8P2
long intergenic non-protein coding RNA 705,LINC00705
capicua transcriptional repressor pseudogene 12,CICP12
NOLC1 pseudogene 1,NOLC1P1
ribosomal protein L21 pseudogene 27,RPL21P27
nucleoporin 210 pseudogene 2,NUP210P2
MT-ND1 pseudogene 18,MTND1P18
uncharacterized LOC105372558,LOC105372558
KLHL5 pseudogene 1,KLHL5P1
long intergenic non-protein coding RNA 1770,LINC01770
ribosomal protein S2 pseudogene 30,RPS2P30
OFD1 pseudogene 13 Y-linked,OFD1P13Y
ribosomal protein L29 pseudogene 29,RPL29P29
long intergenic non-protein coding RNA 2935,LINC02935
ATP binding cassette subfamily D member 1 pseudogene 4,ABCD1P4
oligosaccharyltransferase complex subunit pseudogene 2,OSTCP2
MT-ND4 pseudogene 4,MTND4P4
long intergenic non-protein coding RNA 113,LINC00113
carboxymethylenebutenolidase homolog (Pseudomonas) pseudogene,LOC100132669
argininosuccinate synthetase 1 pseudogene 11,ASS1P11
DnaJ heat shock protein family (Hsp40) member C19 pseudogene 4,DNAJC19P4
CDCA3 pseudogene 1,CDCA3P1
TPTE2 antisense RNA 1,TPTE2-AS1
long intergenic non-protein coding RNA 1427,LINC01427
hemoglobin subunit alpha pseudogene 1,HBAP1
USP9Y pseudogene 19,USP9YP19
ubiquitin specific peptidase 17 like family member 3,USP17L3
long intergenic non-protein coding RNA 1594,LINC01594
LHFPL3 antisense RNA 2,LHFPL3-AS2
long intergenic non-protein coding RNA 1678,LINC01678
long intergenic non-protein coding RNA 2813,LINC02813
high mobility group box 3 pseudogene 1,HMGB3P1
ribosomal protein L23a pseudogene 18,RPL23AP18
ribosomal protein L21 pseudogene 66,RPL21P66
NIPAL1 pseudogene 1,NIPAL1P1
sorting nexin 18 pseudogene 3,SNX18P3
solute carrier family 25 member 5 pseudogene 8,SLC25A5P8
ANKRD49 pseudogene 2,ANKRD49P2
FREM2 antisense RNA 1,FREM2-AS1
ribosomal protein L31 pseudogene 53,RPL31P53
ribosomal protein L7a pseudogene 52,RPL7AP52
ARF like GTPase 6 interacting protein 1 pseudogene 2,ARL6IP1P2
ribosome production factor 2 homolog pseudogene 1,RPF2P1
mitochondrial intermediate peptidase pseudogene 1,MIPEPP1
PPP1R26 antisense RNA 1,PPP1R26-AS1
cancer/testis associated 62,CT62
ATPase H+ transporting V0 subunit e1 pseudogene 1,ATP6V0E1P1
CAPZA1 pseudogene 2,CAPZA1P2
capicua transcriptional repressor pseudogene 8,CICP8
TMEM246 antisense RNA 1,TMEM246-AS1
NRSN2 antisense RNA 1,NRSN2-AS1
immunoglobulin kappa variable 1/OR9-2 (pseudogene),IGKV1OR9-2
RPS5 pseudogene 7,RPS5P7
"surfactant associated 1, lncRNA",SFTA1P
LRRC3B antisense RNA 1,LRRC3B-AS1
neuroblastoma highly expressed DDX5 stabilizing lncRNA 1,NHEG1
mitochondrial ribosomal protein L36 pseudogene 1,MRPL36P1
COBW domain containing 7 pseudogene,LOC100419812
family with sequence similarity 236 member D,FAM236D
phosphoglucomutase 5 pseudogene 4,PGM5P4
"RAB28, member RAS oncogene family pseudogene 5",RAB28P5
TGFB induced factor homeobox 2 pseudogene 1,TGIF2P1
ribosomal protein L26 pseudogene 34,RPL26P34
ribosomal protein S15a pseudogene 17,RPS15AP17
ELF2 pseudogene 4,ELF2P4
long intergenic non-protein coding RNA 2557,LINC02557
ACKR4 pseudogene 1,ACKR4P1
ribosomal protein L36a pseudogene 28,RPL36AP28
"aldo-keto reductase family 1 member C5, pseudogene",AKR1C5P
ribosomal protein L21 pseudogene 3,RPL21P3
uncharacterized LOC101928371,LOC101928371
RNA binding motif single stranded interacting protein 1 pseudogene 1,RBMS1P1
transportin 1 pseudogene 1,TNPO1P1
long intergenic non-protein coding RNA 331,LINC00331
NADH:ubiquinone oxidoreductase subunit B4 pseudogene 7,NDUFB4P7
long intergenic non-protein coding RNA 1671,LINC01671
MT-ND1 pseudogene 12,MTND1P12
long intergenic non-protein coding RNA 1504,LINC01504
PACRG antisense RNA 2,PACRG-AS2
"keratin 41, pseudogene",KRT41P
BOLA3 divergent transcript,BOLA3-DT
MPRIP antisense RNA 1,MPRIP-AS1
ribosomal protein L36a pseudogene 27,RPL36AP27
long intergenic non-protein coding RNA 1867,LINC01867
long intergenic non-protein coding RNA 1763,LINC01763
ribosomal protein S15a pseudogene 10,RPS15AP10
triosephosphate isomerase 1 pseudogene 4,TPI1P4
uncharacterized LOC107986837,LOC107986837
ubiquitin-conjugating enzyme E2 variant 1-like,LOC124902324
farnesyl diphosphate synthase pseudogene 1,FDPSP1
zinc finger protein 70 pseudogene 1,ZNF70P1
RFPL1 antisense RNA 1,RFPL1S
OFD1 pseudogene 10 Y-linked,OFD1P10Y
MAGE family member C2 pseudogene,LOC392555
"JPX transcript, XIST activator",JPX
NFIB antisense RNA 1,NFIB-AS1
ATP13A4 antisense RNA 1,ATP13A4-AS1
MT-CO3 pseudogene 5,MTCO3P5
isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma pseudogene,LOC100631258
PLCB1 intronic transcript 1,PLCB1-IT1
ribosomal protein S6 pseudogene 14,RPS6P14
ribosomal protein L22 pseudogene 4,RPL22P4
NUTM2B antisense RNA 1,NUTM2B-AS1
ribosomal protein L35a pseudogene 7,RPL35AP7
long intergenic non-protein coding RNA 2851,LINC02851
"UBE2Q2 pseudogene 4, Y-linked",UBE2Q2P4Y
long intergenic non-protein coding RNA 1107,LINC01107
RTRAF pseudogene 1,RTRAFP1
KCNMA1 antisense RNA 2,KCNMA1-AS2
ribosomal protein L15 pseudogene 4,RPL15P4
small nuclear ribonucleoprotein polypeptide F pseudogene 3,SNRPFP3
glyceraldehyde-3-phosphate dehydrogenase pseudogene 16,GAPDHP16
CYP4A22 antisense RNA 1,CYP4A22-AS1
"SSX family member 15, pseudogene",SSX15P
AIFM1 pseudogene 1,AIFM1P1
protocadherin 8 pseudogene 1,PCDH8P1
long intergenic non-protein coding RNA 475,LINC00475
ribosomal protein L29 pseudogene 20,RPL29P20
MT-ND1 pseudogene 34,MTND1P34
long intergenic non-protein coding RNA 1703,LINC01703
SNED1 antisense RNA 1,SNED1-AS1
immunoglobulin kappa variable 6D-21 (non-functional),IGKV6D-21
MKRN2 opposite strand,MKRN2OS
translation machinery associated 7 homolog B,TMA7B
Sp3 transcription factor pseudogene,SP3P
pro-apoptotic WT1 regulator pseudogene 1,PAWRP1
long intergenic non-protein coding RNA 1393,LINC01393
stress induced phosphoprotein 1 pseudogene 3,STIP1P3
olfactory receptor family 5 subfamily BE member 1 pseudogene,OR5BE1P
long intergenic non-protein coding RNA 1821,LINC01821
ZNF385D antisense RNA 1,ZNF385D-AS1
MPPE1 pseudogene 2,MPPE1P2
long intergenic non-protein coding RNA 2476,LINC02476
long intergenic non-protein coding RNA 1980,LINC01980
selenoprotein K pseudogene 3,SELENOKP3
NAALADL2 antisense RNA 1,NAALADL2-AS1
uncharacterized LOC105372791,LOC105372791
C2 calcium dependent domain containing 4D,C2CD4D
MT-CO3 pseudogene 20,MTCO3P20
ubiquitin conjugating enzyme E2 D3 pseudogene 2,UBE2D3P2
long intergenic non-protein coding RNA 1710,LINC01710
long intergenic non-protein coding RNA 1492,LINC01492
ubiquitin like modifier activating enzyme 2 pseudogene,LOC100421468
chaperonin containing TCP1 subunit 4 pseudogene 2,CCT4P2
DOCK4 antisense RNA 1,DOCK4-AS1
ribosomal protein L35 pseudogene 5,RPL35P5
dorsal inhibitory axon guidance protein pseudogene 1,DRAXINP1
NCBP2 antisense RNA 1,NCBP2-AS1
EDNRB antisense RNA 1,EDNRB-AS1
proliferation-associated 2G4 pseudogene 5,PA2G4P5
"tripartite motif containing 53A, pseudogene",TRIM53AP
COX6A1 pseudogene 6,COX6A1P6
"inositol 1,3,4,5,6-pentakisphosphate 2-kinase pseudogene 1",IPPKP1
ribosomal protein S27 pseudogene 7,RPS27P7
long intergenic non-protein coding RNA 1623,LINC01623
MTOR antisense RNA 1,MTOR-AS1
chromodomain Y-linked 20 pseudogene,CDY20P
CCDC13 antisense RNA 2,CCDC13-AS2
uncharacterized LOC105375589,LOC105375589
"long intergenic non-protein coding RNA, muscle differentiation 1",LINCMD1
"RNA binding motif protein Y-linked family 2 member U, pseudogene",RBMY2UP
ribosomal protein L27 pseudogene 4,RPL27P4
MYT1L antisense RNA 1,MYT1L-AS1
peptidylprolyl isomerase A pseudogene 17,PPIAP17
AGBL4 intronic transcript 1,AGBL4-IT1
transducin beta like 1 Y-linked pseudogene 1,TBL1YP1
CFAP95 divergent transcript,CFAP95-DT
MT-ND2 pseudogene 28,MTND2P28
heterogeneous nuclear ribonucleoprotein A3 pseudogene 15,HNRNPA3P15
poly(A) binding protein cytoplasmic 1 pseudogene 12,PABPC1P12
phosphoglycerate mutase 1 pseudogene 2,PGAM1P2
long intergenic non-protein coding RNA 1729,LINC01729
SNRPE pseudogene 5,SNRPEP5
ribosomal protein L35a pseudogene 4,RPL35AP4
uncharacterized LOC105375448,LOC105375448
uncharacterized LOC100506474,LOC100506474
eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 5,EIF2S2P5
KCNMA1 antisense RNA 3,KCNMA1-AS3
ring finger protein 19B pseudogene Y-linked,RNF19BPY
long intergenic non-protein coding RNA 1716,LINC01716
TATA-box binding protein associated factor 13 pseudogene 2,TAF13P2
ribosomal protein L14 pseudogene 5,RPL14P5
ribosomal protein L14 pseudogene 2,RPL14P2
MAPK regulated corepressor interacting protein 1,MCRIP1
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 8,YWHAZP8
secretion associated Ras related GTPase 1A pseudogene 3,SAR1AP3
ribosomal protein L23a pseudogene 27,RPL23AP27
CADM3 antisense RNA 1,CADM3-AS1
FCF1 pseudogene 6,FCF1P6
cyclin T2 pseudogene 1,CCNT2P1
TMED2 pseudogene 1,TMED2P1
importin 7 pseudogene 2,IPO7P2
LRP8 divergent transcript,LRP8-DT
uncharacterized LOC105372988,LOC105372988
PACRG antisense RNA 3,PACRG-AS3
family with sequence similarity 225 member B,FAM225B
"testis specific protein Y-linked 5, pseudogene",TSPY5P
"triggering receptor expressed on myeloid cells like 5, pseudogene",TREML5P
L antigen family member 3 pseudogene 1,LAGE3P1
heterogeneous nuclear ribonucleoprotein A1 pseudogene 35,HNRNPA1P35
eukaryotic translation initiation factor 4A1 pseudogene 13,EIF4A1P13
PTPRD antisense RNA 1,PTPRD-AS1
PDE4DIP pseudogene 8,PDE4DIPP8
ATP5MC2 pseudogene 1,ATP5MC2P1
ribosomal protein L30 pseudogene 1,RPL30P1
PSMA1 pseudogene 1,PSMA1P1
elongin C pseudogene 13,ELOCP13
NMNAT1 pseudogene 2,NMNAT1P2
RPL24 pseudogene 9,RPL24P9
MT-ND6 pseudogene 15,MTND6P15
ASH2L pseudogene 3,ASH2LP3
family with sequence similarity 66 member E,FAM66E
TMEM230 pseudogene 1,TMEM230P1
ADGRF5 antisense RNA 1,ADGRF5-AS1
PDE9A antisense RNA 1,PDE9A-AS1
FGD5 antisense RNA 1,FGD5-AS1
NIMA-related kinase 4 pseudogene 1,NEK4P1
NRG3 antisense RNA 1,NRG3-AS1
nucleophosmin 1 pseudogene 18,NPM1P18
elongin C pseudogene 6,ELOCP6
long intergenic non-protein coding RNA 2036,LINC02036
uncharacterized LOC105373559,LOC105373559
"maternally expressed 8, small nucleolar RNA host gene",MEG8
TRNT1 pseudogene 1,TRNT1P1
DBH antisense RNA 1,DBH-AS1
ribosomal protein S17 pseudogene 17,RPS17P17
long intergenic non-protein coding RNA 489,LINC00489
long intergenic non-protein coding RNA 431,LINC00431
long intergenic non-protein coding RNA 1389,LINC01389
P3H2 antisense RNA 1,P3H2-AS1
long intergenic non-protein coding RNA 1831,LINC01831
FAF1 antisense RNA 1,FAF1-AS1
long intergenic non-protein coding RNA 2620,LINC02620
CROCC pseudogene 1,CROCCP1
ribosomal protein S29 pseudogene 3,RPS29P3
signal regulatory protein alpha pseudogene 1,SIRPAP1
DEAD-box helicase 39A pseudogene 1,DDX39AP1
PROSER2 antisense RNA 1,PROSER2-AS1
olfactory receptor family 6 subfamily V member 1,OR6V1
myocardial infarction associated transcript,MIAT
"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated pseudogene 3",LSM3P3
TRAM2 antisense RNA 1 (head to head),TRAM2-AS1
SNX10 antisense RNA 1,SNX10-AS1
TMEM30A divergent transcript,TMEM30A-DT
MT-ND4 pseudogene 23,MTND4P23
ubiquitin D pseudogene 1,UBDP1
Rab9 effector protein with kelch motifs pseudogene 1,RABEPKP1
tryptophanyl-tRNA synthetase 1 pseudogene 1,WARS1P1
mitochondrial ribosomal protein S11 pseudogene 1,MRPS11P1
defensin beta 131B,DEFB131B
DnaJ heat shock protein family (Hsp40) member C19 pseudogene 5,DNAJC19P5
"RNA binding motif protein Y-linked family 2 member K, pseudogene",RBMY2KP
GRPEL2 pseudogene 2,GRPEL2P2
general transcription factor IIIA pseudogene 5,GTF3AP5
UBXN7 antisense RNA 1,UBXN7-AS1
ribosomal protein L7 pseudogene 45,RPL7P45
immunoglobulin heavy diversity 6-25,IGHD6-25
long intergenic non-protein coding RNA 626,LINC00626
"surfactant protein A3, pseudogene",SFTPA3P
family with sequence similarity 229 member A,FAM229A
"ERCC excision repair 6, chromatin remodeling factor",ERCC6
ribosomal protein S18 pseudogene 1,RPS18P1
ribosomal protein L36a pseudogene 25,RPL36AP25
ACE2 divergent transcript,ACE2-DT
TRMT2B antisense RNA 1,TRMT2B-AS1
GGCT pseudogene 3,GGCTP3
NIPA2 pseudogene 1,NIPA2P1
ribosomal protein L36 pseudogene 8,RPL36P8
"makorin ring finger protein 7, pseudogene",MKRN7P
"major histocompatibility complex, class I, S (pseudogene)",HLA-S
ribosomal protein L34 pseudogene 4,RPL34P4
PEST containing nuclear protein pseudogene 2,PCNPP2
long intergenic non-protein coding RNA 2816,LINC02816
MATR3 pseudogene 1,MATR3P1
long intergenic non-protein coding RNA 368,LINC00368
PSG8 antisense RNA 1,PSG8-AS1
SERPINE1 mRNA binding protein 1 pseudogene 2,SERBP1P2
long intergenic non-protein coding RNA 115,LINC00115
uncharacterized LOC100506937,LOC100506937
long intergenic non-protein coding RNA 1456,LINC01456
BMS1 pseudogene 11,BMS1P11
hCG2045843,LOC729254
DHDDS antisense RNA 1,DHDDS-AS1
ribosomal protein S6 pseudogene 11,RPS6P11
trafficking protein particle complex 2 pseudogene 8,TRAPPC2P8
elongin C pseudogene 36,ELOCP36
FSHD region gene 2 family member B,FRG2B
heat shock protein family E (Hsp10) member 1 pseudogene 13,HSPE1P13
MT-ND2 pseudogene 9,MTND2P9
mortality factor 4 like 1 pseudogene 7,MORF4L1P7
ANKRD65 antisense RNA 1,ANKRD65-AS1
ribosomal protein S27 pseudogene 16,RPS27P16
ribosomal protein L26 pseudogene 36,RPL26P36
ribosomal protein L7 pseudogene 59,RPL7P59
long intergenic non-protein coding RNA 1745,LINC01745
ribosomal modification protein rimK like family member B pseudogene 2,RIMKLBP2
ribosomal protein L21 pseudogene 92,RPL21P92
secretory carrier membrane protein 1 pseudogene,LOC101060164
TAB2 antisense RNA 1,TAB2-AS1
calcyclin binding protein pseudogene 1,CACYBPP1
uncharacterized LOC105373100,LOC105373100
long intergenic non-protein coding RNA 2249,LINC02249
ribosomal protein S14 pseudogene 5,RPS14P5
family with sequence similarity 133 member A pseudogene,FAM133FP
BANF1 pseudogene 5,BANF1P5
SLC18A2 antisense RNA 1,SLC18A2-AS1
prostate cancer associated 3,PCA3
S1PR1 divergent transcript,S1PR1-DT
chromosome 5 putative open reading frame 67,C5orf67
long intergenic non-protein coding RNA 1875,LINC01875
RIO kinase 3 pseudogene 1,RIOK3P1
ZFAND3 divergent transcript,ZFAND3-DT
long intergenic non-protein coding RNA 2648,LINC02648
neurotrophin 4,NTF4
ODF2 antisense RNA 1,ODF2-AS1
SATB2 antisense RNA 1,SATB2-AS1
MT-ND4 pseudogene 3,MTND4P3
negative regulator of interferon response,NRIR
extracellular leucine rich repeat and fibronectin type III domain containing 1,ELFN1
"BICD family like 3, pseudogene",BICDL3P
RPS3A pseudogene 51,RPS3AP51
MT-ND1 pseudogene 23,MTND1P23
PIGB opposite strand 1,PIGBOS1
ZNF567 divergent transcript,ZNF567-DT
CDC28 protein kinase regulatory subunit 1B pseudogene 2,CKS1BP2
highly accelerated region 1A,HAR1A
ANKRD44 divergent transcript,ANKRD44-DT
olfactory receptor family 7 subfamily E member 19 pseudogene,OR7E19P
MICALL2 divergent transcript,MICALL2-DT
high mobility group box 1 pseudogene 26,HMGB1P26
LAMP5 antisense RNA 1,LAMP5-AS1
SNRPE pseudogene 7,SNRPEP7
ribosomal protein L23a pseudogene 34,RPL23AP34
T cell receptor gamma variable A (pseudogene),TRGVA
olfactory receptor family 4 subfamily A member 8 (gene/pseudogene),OR4A8
NADH:ubiquinone oxidoreductase subunit A12 pseudogene 1,NDUFA12P1
general transcription factor IIi pseudogene 14,GTF2IP14
peptidylprolyl isomerase A pseudogene 37,PPIAP37
suppressor of inflammatory macrophage apoptosis lncRNA,SIMALR
long intergenic non-protein coding RNA 2660,LINC02660
family with sequence similarity 88 member F,FAM88F
septin 14 pseudogene 3,SEPTIN14P3
KCNIP2 antisense RNA 1,KCNIP2-AS1
zinc finger protein 670 pseudogene,LOC100419786
OFD1 pseudogene 1 Y-linked,OFD1P1Y
mitochondrial ribosomal protein S18B pseudogene 1,MRPS18BP1
chaperonin containing TCP1 subunit 8 pseudogene 1,CCT8P1
ribosomal protein L36a pseudogene 55,RPL36AP55
PRICKLE2 antisense RNA 3,PRICKLE2-AS3
cyclin dependent kinase 2 associated protein 2 pseudogene 3,CDK2AP2P3
cancer/testis antigen family 47 member A6,CT47A6
cytochrome c oxidase subunit 5B pseudogene 7,COX5BP7
RWDD3 divergent transcript,RWDD3-DT
profilin 1 pseudogene 12,PFN1P12
long intergenic non-protein coding RNA 1772,LINC01772
"major histocompatibility complex, class II, DQ beta 3",HLA-DQB3
FGF13 antisense RNA 1,FGF13-AS1
NANOGNB pseudogene 1,NANOGNBP1
RFK pseudogene 5,RFKP5
long intergenic non-protein coding RNA 1040,LINC01040
peptidylprolyl isomerase A pseudogene 21,PPIAP21
chromodomain Y-linked 10 pseudogene,CDY10P
AP1S2 pseudogene 1,AP1S2P1
Y-box binding protein 1 pseudogene 8,YBX1P8
tousled like kinase 2 pseudogene 1,TLK2P1
ZNF503 antisense RNA 1,ZNF503-AS1
long intergenic non-protein coding RNA 1776,LINC01776
MEMO1 pseudogene 1,MEMO1P1
